"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g500222.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc03g042528.2.1"	0.108918563391791	0.084235573464383	3.11203329460796	0.0270676967403701	0.978405739582441	1	0
"mRNA:Solyc03g042550.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160680.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160450.1.1"	0.108918563391791	0.084235573464383	3.11203329460796	0.0270676967403701	0.978405739582441	1	0
"mRNA:Solyc00g160430.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g198360.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160440.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g036520.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g052540.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g052530.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500224.1.1"	0.435512543688636	-1.42487117408856	1.49402986926642	-0.953709964840385	0.340230474683419	1	0
"mRNA:Solyc00g047180.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g047190.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g047200.1.1"	0.323526980022106	0.118572312456049	1.61170666914501	0.0735694123043801	0.941353010605907	1	0
"mRNA:Solyc00g160040.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500225.1.1"	0.561070140260874	-2.19809823779189	1.57486708483041	-1.39573571570873	0.16279409486334	1	0
"mRNA:Solyc00g500226.1.1"	0.129600564235163	-1.45785933681982	2.85721120434771	-0.510238562204099	0.609884339158193	1	0
"mRNA:Solyc00g500227.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500228.1.1"	503.988082526647	0.639158977861514	0.276514575905345	2.31148385494263	0.0208061439272308	0.0636015492520649	2.258555821364
"mRNA:Solyc00g500229.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500230.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160050.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160200.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500232.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160470.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160460.1.1"	0.52717542337568	1.21837449595525	1.32863267052744	0.917013801468227	0.359135407997899	1	0
"mRNA:Solyc00g500233.1.1"	0.108918563391791	0.084235573464383	3.11203329460796	0.0270676967403701	0.978405739582441	1	0
"mRNA:Solyc00g500235.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500236.1.1"	0.223243607428725	-1.11162254871447	2.13790271941139	-0.519959368881163	0.603091894674494	1	0
"mRNA:Solyc00g500237.1.1"	1.47981804506378	0.965251292383799	0.865127885808673	1.11573249252223	0.264536657806933	1	0.0500905552158272
"mRNA:Solyc00g230070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g025300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g025290.1.1"	1.33497027499453	0.40989696037379	1.07506327737605	0.381277055034603	0.702997677526904	1	0.0904854729305704
"mRNA:Solyc00g500238.1.1"	4.84730766093727	0.343803606518581	0.480696666125063	0.715219452820448	0.474473450658999	1	0.446830560400774
"mRNA:Solyc00g020040.1.1"	154.90845168027	0.258902936264245	0.311306057678941	0.831666875339956	0.405597002800853	0.559812229225265	1.875
"mRNA:Solyc00g020030.1.1"	7.21865324645309	0.552684585893301	0.421893986195165	1.31000821054044	0.190193058032775	0.579184885788363	0.828746849586318
"mRNA:Solyc00g020020.2.1"	100.190113453718	0.581555420986919	0.146126628167748	3.97980455909319	6.89719476363608e-05	0.000727040070991469	1.875
"mRNA:Solyc00g020010.1.1"	28.6368830907545	0.933021398103436	0.293977819046188	3.17378161771056	0.00150466854376803	0.011007636129106	1.50692313355232
"mRNA:Solyc00g020000.1.1"	46.9542421883803	0.924593781501691	0.27021643894856	3.42167850741938	0.000622358559536518	0.00483111356700706	1.72322527708845
"mRNA:Solyc00g019990.1.1"	8.06200521626755	-0.084805869629751	0.379323247448254	-0.223571505833741	0.823090737496465	1	1.30013596867827
"mRNA:Solyc00g019980.3.1"	142.794463987387	0.320537959702405	0.132585899037037	2.41758710413741	0.0156237941100914	0.0666277515406079	1.59715281426374
"mRNA:Solyc00g019970.2.1"	918.030235547786	0.499029459851612	0.128752657497478	3.87587696868615	0.000106241358883151	0.00104431381969983	1.875
"mRNA:Solyc00g019950.2.1"	479.393484076196	0.0158061058485998	0.0930249168038627	0.169912603973901	0.865078868718952	0.853386429321818	1.87500000000123
"mRNA:Solyc00g160060.1.1"	35.5886204516917	0.0899234742533229	0.255659266086536	0.351731723359033	0.725039467123862	0.87007462489557	1.52038089491038
"mRNA:Solyc00g500239.1.1"	0.158463079402904	-0.464107079810141	2.66103575309602	-0.174408434486523	0.861544486147863	1	0
