"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g500063.1.1"	1858.14626808417	0.777086765178057	1.24679474739479	0.623267596211645	NA	NA	NA
"mRNA:Solyc00g500064.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500065.1.1"	38.1669047609498	0.997738248427186	0.959106061438988	1.04027936903061	0.298210126339067	0.312603081243359	1.63478664328401
"mRNA:Solyc00g500066.1.1"	11.7015634680715	1.49490616090521	1.40530268718956	1.06376097799603	0.287436992857537	0.516771449889844	0.816980005953433
"mRNA:Solyc00g500067.1.1"	0.146910300848445	0.736399783724	4.0804728567969	0.18046922735863	0.856784210745833	1	0
"mRNA:Solyc00g500068.1.1"	2.32732062271781	-1.01816924399201	1.88318406491447	-0.540663689206745	0.588739410502258	1	0.168518288655359
"mRNA:Solyc00g500069.1.1"	1.70629996364691	-1.50962960272925	2.72953739741325	-0.553071595267357	0.580214386003833	1	0.428331451216983
"mRNA:Solyc00g500070.1.1"	0.700786529699339	-1.74584774474509	3.9922484475238	-0.437309392863052	0.661886984337482	1	0
"mRNA:Solyc00g500071.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500072.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500073.1.1"	0.311990185322476	1.65477406416226	4.03579806059538	0.41002400004081	0.681788342081532	1	0
"mRNA:Solyc00g500074.1.1"	0.465041608205265	0.617816963856475	4.04258361752027	0.152827256603648	0.878534502560217	1	0
"mRNA:Solyc00g500075.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500076.1.1"	0.311990185322476	1.65477406416226	4.03579806059538	0.41002400004081	0.681788342081532	1	0
"mRNA:Solyc00g500077.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500078.1.1"	0.155995092661238	0.736399783724	4.0804728567969	0.18046922735863	0.856784210745833	1	0
"mRNA:Solyc00g500079.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500080.1.1"	0.184625409616965	-1.18715356791849	4.0804728567969	-0.290935293428317	0.771100808007399	1	0
"mRNA:Solyc00g500081.1.1"	0.877415735310156	-3.37688123319725	3.90848316829813	-0.863987661655363	0.387594668524472	1	0
"mRNA:Solyc00g500082.1.1"	0.32878665874096	-0.22537288848963	4.0804728567969	-0.0552320518721804	0.955953594198246	1	0
"mRNA:Solyc00g500083.1.1"	14.2920865239386	3.65019681223796	1.65657967329798	2.20345382179597	0.0275627782930949	0.0999313062982946	0.613770152150878
"mRNA:Solyc00g500084.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500085.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160290.1.1"	0.327216099169613	-0.22537288848963	4.0804728567969	-0.0552320518721804	0.955953594198246	1	0
"mRNA:Solyc00g500086.1.1"	0.35309736440089	-2.06468155775138	4.03945100402818	-0.511129248923297	0.60926055627949	1	0
"mRNA:Solyc00g500087.1.1"	1.2479607412899	3.6571160828662	3.93936483423718	0.928351710682407	0.3532251586251	1	0
"mRNA:Solyc00g500088.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500089.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160630.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500091.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160310.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011660.1.1"	0.36925081923393	-2.12098798175871	4.03445307116141	-0.525718838302941	0.599083572934131	1	0
"mRNA:Solyc00g500092.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500093.1.1"	2.42599503111215	2.48708797703335	3.29058893898798	0.755818494241414	0.449758026749812	1	0.20527134299763
"mRNA:Solyc00g160640.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500095.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500096.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011560.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500097.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500098.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500099.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500101.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500102.1.1"	0.146910300848445	0.736399783724	4.0804728567969	0.18046922735863	0.856784210745833	1	0
"mRNA:Solyc00g153980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g309530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g164580.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g210860.1.1"	0.155995092661238	0.736399783724	4.0804728567969	0.18046922735863	0.856784210745833	1	0
"mRNA:Solyc00g025400.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022090.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500103.1.1"	2.58447218253504	2.68694105451221	2.04682813919922	1.31273408013797	0.189272569535606	1	0.168518288655359
"mRNA:Solyc00g500104.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500106.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500107.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500108.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g281110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500109.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500111.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500112.1.1"	0.311990185322476	1.65477406416226	4.03579806059538	0.41002400004081	0.681788342081532	1	0
"mRNA:Solyc00g142160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g142170.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500113.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500114.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500116.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500118.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500119.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500120.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500121.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g015600.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500122.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160650.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160320.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007340.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007350.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160020.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160340.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160350.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500123.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500124.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500125.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500126.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500127.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500128.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500129.1.1"	0.487530803126647	0.656087755410115	3.77498130020052	0.173798941831914	0.862023476033964	1	0
"mRNA:Solyc00g500130.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500131.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500132.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500133.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500134.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500135.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500136.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500137.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500138.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500139.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500140.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500141.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500142.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500144.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500145.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500147.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500148.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500149.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500150.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500151.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500152.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500153.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500154.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500155.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500156.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500157.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500158.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500159.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500161.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500162.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500163.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160360.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500164.1.1"	0.311990185322476	1.65477406416226	4.03579806059538	0.41002400004081	0.681788342081532	1	0
"mRNA:Solyc00g500165.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g112190.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160030.1.1"	0.146910300848445	0.736399783724	4.0804728567969	0.18046922735863	0.856784210745833	1	0
"mRNA:Solyc00g500166.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500167.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g230080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g316530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g069880.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500168.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g013110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g126000.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g125990.1.1"	0	NA	NA	NA	NA	NA	NA
