"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g500070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500071.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500072.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500073.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500074.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500075.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500076.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500077.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500078.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500079.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500081.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500082.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500083.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500084.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500085.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500086.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500087.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500088.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500089.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160630.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500091.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160310.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500092.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500093.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160640.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500095.1.1"	6.01461876044862	-1.81258672106777	1.09993142306631	-1.64790884509397	0.0993713780770337	0.198234046963616	0.78672251264823
"mRNA:Solyc00g500096.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011560.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500097.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500098.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500099.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500101.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500102.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g153980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g309530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g164580.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g210860.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g025400.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022090.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500103.1.1"	0.155593646727633	0.922092254917462	3.06038250977364	0.301299674786621	0.763185988887523	1	0
"mRNA:Solyc00g500104.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500106.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500107.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500108.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g281110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500109.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500111.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500112.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g142160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g142170.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500113.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500114.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500116.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500118.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500119.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500120.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500121.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g015600.1.1"	0.0538681740685405	0.561421872783967	3.06038250977364	0.183448268636685	0.854446305517631	1	0
"mRNA:Solyc00g500122.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160650.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160320.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007340.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007350.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160020.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160340.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160350.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500123.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500124.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500125.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500126.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500127.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500128.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500129.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500130.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500131.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500132.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500133.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500134.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500135.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160170.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500136.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500137.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500138.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500139.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500140.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500141.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500142.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500144.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500145.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500147.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500148.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500149.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500150.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500151.1.1"	0.417808962311786	-0.752112580497849	1.57000792616202	-0.479050180553186	0.631902930331513	1	0
"mRNA:Solyc00g500152.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500153.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500154.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500155.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500156.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500157.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500158.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500159.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500161.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500162.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500163.1.1"	0	NA	NA	NA	NA	NA	NA
