"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g500069.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500071.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500072.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500073.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500074.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500075.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500076.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500077.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500078.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500079.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500081.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500082.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500083.1.1"	0.235464091413649	-0.359878022175322	2.86273988566876	-0.125711044854937	0.899960658701269	1	0
"mRNA:Solyc00g500084.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500085.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160290.1.1"	0.0798985091178992	-0.359880990419458	3.11653965008542	-0.115474542545799	0.908068997583247	1	0
"mRNA:Solyc00g500086.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500087.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500088.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500089.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160630.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500091.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160310.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160300.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011670.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011660.1.1"	0.187862780423429	1.08279770220093	3.11653965008542	0.347435882027443	0.728263880314764	1	0
"mRNA:Solyc00g500092.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500093.1.1"	0.67655447932222	-1.39478952745388	2.00564999889789	-0.695430173868981	0.486785756355917	1	0.35100594383073
"mRNA:Solyc00g160640.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500095.1.1"	243.19022501981	-2.19167258573861	0.564278211081826	-3.88402837943497	0.000102739907830044	0.000278579341128241	1.03195945698795
"mRNA:Solyc00g500096.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g011560.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500097.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500098.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500099.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500101.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500102.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g153980.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g309530.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g164580.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g210860.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g025400.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022070.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022080.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022090.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g022100.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500103.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500104.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500106.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500107.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500108.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g281110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500109.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500110.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500111.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500112.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g142160.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g142170.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500113.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500114.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500116.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500118.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500119.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500120.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500121.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g015600.1.1"	0.81191958742275	-1.72264666166108	1.50708775036083	-1.14303009977265	0.253026094109469	1	0.250805724694189
"mRNA:Solyc00g500122.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160650.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160660.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160320.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007330.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007340.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g007350.1.1"	0	NA	NA	NA	NA	NA	NA
