	stat_Pinfestans	stat_Cfulvum	stat_PSTVd_S23	stat_PSTVd_M	stat_Bcinerea	stat_Mincognita_7dpi	stat_Mincognita_14dpi
mRNA:Solyc00g500055.1.1	0.0	0.0	0.0	0.02706769674037	0.0	0.0	0.0
mRNA:Solyc00g500056.1.1	0.0	0.0	-0.171086360133417	0.999209461418064	0.0	0.0	0.0
mRNA:Solyc00g500057.1.1	0.0	0.0	0.19128493638017	-0.477561715627236	0.0	0.0	0.0
mRNA:Solyc00g500058.1.1	0.0	0.0	0.499477417483059	0.681866095371156	0.0	0.0	0.0
mRNA:Solyc00g500059.1.1	0.0	0.0	0.714648054083198	0.0259544661737111	0.0	0.0	0.0
mRNA:Solyc00g500061.1.1	-0.807759264266846	-0.848256453196094	0.0	0.230076234263221	0.0	0.0	0.0
mRNA:Solyc00g500062.1.1	-8.68482044626407	-1.03150705151846	2.41871375876404	0.798633097412476	-3.24762453865355	-1.31566034355695	0.317053423604195
mRNA:Solyc00g500063.1.1	-3.30026161418085	0.623267596211645	1.33065182676445	-0.723762462998596	-6.08775041491441	1.72557806231256	-3.85515306747873
mRNA:Solyc00g500064.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500065.1.1	-2.10737261496697	1.04027936903061	-1.88115629552504	-0.234763757578295	-1.92506335726587	2.18031142364211	-1.8044227263995
mRNA:Solyc00g500066.1.1	-0.593733538819154	1.06376097799603	-0.372061190366173	0.497001764911074	-2.95318323574835	0.840300840527581	-0.0715220801528989
mRNA:Solyc00g500067.1.1	0.0	0.18046922735863	-0.447925716620408	0.0216963983193391	-0.189860964195333	0.0	0.0
mRNA:Solyc00g500068.1.1	0.0	-0.540663689206745	-0.410961033796985	-0.31489889561301	0.0	0.0	0.0
mRNA:Solyc00g500069.1.1	0.0	-0.553071595267357	0.0087910883093197	2.1499982855023	0.679369686696309	0.0	0.0
mRNA:Solyc00g500070.1.1	0.0	-0.437309392863052	-0.0263336641047185	0.333416611289945	0.0611872584305854	0.0	0.0
mRNA:Solyc00g500071.1.1	0.0	0.0	-0.268099630697437	-0.0123346998783749	-0.189860964195333	0.0	0.0
mRNA:Solyc00g500072.1.1	0.0	0.0	-0.410961033796985	-0.31489889561301	0.0	0.0	0.0
mRNA:Solyc00g500073.1.1	0.0	0.41002400004081	-0.545453005742987	0.298959842431805	0.0	0.0	0.0
mRNA:Solyc00g500074.1.1	0.0	0.152827256603648	-0.101500203997406	0.262616951253416	0.0	0.0	0.0
mRNA:Solyc00g500075.1.1	0.0	0.0	-0.0686855001705258	0.0	0.0	0.0	0.0
mRNA:Solyc00g500076.1.1	0.0	0.41002400004081	0.262514701548282	0.0270676967403701	0.0	0.0	0.0
mRNA:Solyc00g500077.1.1	0.0	0.0	0.125905776258184	0.112396477089919	0.0	0.0	0.0
mRNA:Solyc00g500078.1.1	0.0	0.18046922735863	-1.93737674104214	-1.18079704252533	0.319395631168887	0.0	0.0
mRNA:Solyc00g500079.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500080.1.1	0.0	-0.290935293428317	-0.415991725096034	-0.605458796629539	0.0	0.0	0.0
mRNA:Solyc00g500081.1.1	0.0	-0.863987661655363	-0.184032245444566	0.692786650545898	0.0	0.0	0.0
mRNA:Solyc00g500082.1.1	0.0	-0.0552320518721804	-0.40220034132389	-0.156271846879852	0.0	0.0	0.0
mRNA:Solyc00g500083.1.1	-0.125711044854937	2.20345382179597	0.0872211785981732	0.0	-0.521577035440576	0.0	0.0
mRNA:Solyc00g500084.1.1	0.0	0.0	0.0	0.0270676967403701	0.0	0.0	0.0
mRNA:Solyc00g500085.2.1	0.0	0.0	0.565249159124508	1.36069420002681	0.0	0.0	0.0
mRNA:Solyc00g160290.1.1	-0.115474542545799	-0.0552320518721804	1.62850529863131	0.0695472539406276	0.0	0.0	0.0
mRNA:Solyc00g500086.1.1	0.0	-0.511129248923297	-0.358045428401627	-0.52002590314859	0.0	0.0	0.0
mRNA:Solyc00g500087.1.1	0.0	0.928351710682407	0.922777255870683	0.76191844031265	0.0	0.0	0.0
mRNA:Solyc00g500088.2.1	0.0	0.0	-0.964022177662504	-0.839889730261877	0.0611872584305854	0.0	0.0
mRNA:Solyc00g500089.1.1	0.0	0.0	-0.410961033796985	0.0319990604632753	-0.0743151797854593	0.0	0.190219979348415
mRNA:Solyc00g160160.1.1	0.0	0.0	0.0	0.0	0.0	0.0	-0.0454822810464555
mRNA:Solyc00g160630.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500091.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160310.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160300.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g011670.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g011660.1.1	0.347435882027443	-0.525718838302941	-0.410961033796985	-0.31489889561301	-0.0727048111339307	0.0	0.0
mRNA:Solyc00g500092.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500093.1.1	-0.695430173868981	0.755818494241414	-0.0686855001705258	0.02706769674037	0.0611872584305854	0.0	0.0
