	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g500054.1.1	0.0	4.35788475172173	1.20282967147579	-1.03021698868194	0.0	0.0	0.0
mRNA:Solyc00g500055.1.1	0.0	0.0	0.0	0.0842355734643827	0.0	0.0	0.0
mRNA:Solyc00g500056.1.1	0.0	0.0	-0.266966164692764	1.15572278802294	0.0	0.0	0.0
mRNA:Solyc00g500057.1.1	0.0	0.0	0.322843340035928	-1.15587274409845	0.0	0.0	0.0
mRNA:Solyc00g500058.1.1	0.0	0.0	0.526056511950657	0.716393487154218	0.0	0.0	0.0
mRNA:Solyc00g500059.1.1	0.0	0.0	1.19618020689118	0.0659486632428901	0.0	0.0	0.0
mRNA:Solyc00g500061.1.1	-1.69450306737023	-3.36024778925096	0.0	0.638000700786637	0.0	0.0	0.0
mRNA:Solyc00g500062.1.1	-4.2844135114107	-0.565169060969331	0.45150990972516	0.167640043781013	-1.07722070710836	-1.26288808110236	0.284011466701075
mRNA:Solyc00g500063.1.1	-1.51215063581411	0.777086765178057	0.261632678756805	-0.0819874071830467	-1.66926869659748	0.360530680116024	-0.843783689316346
mRNA:Solyc00g500064.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500065.1.1	-1.53279289008447	0.997738248427186	-0.23352833273367	-0.0274262619140807	-0.798298765903472	1.28090810733569	-0.603535563387559
mRNA:Solyc00g500066.1.1	-0.437337125731646	1.49490616090521	-0.102691342505071	0.134733153138714	-2.19334791451107	1.13493252029968	-0.0513402900058202
mRNA:Solyc00g500067.1.1	0.0	0.736399783724	-0.801500335470571	0.0327422615807739	-0.584495283296421	0.0	0.0
mRNA:Solyc00g500068.1.1	0.0	-1.01816924399201	-1.27634345067826	-0.97799774181373	0.0	0.0	0.0
mRNA:Solyc00g500069.1.1	0.0	-1.50962960272925	0.0124716273006576	1.95428159818205	1.4366894144232	0.0	0.0
mRNA:Solyc00g500070.1.1	0.0	-1.74584774474509	-0.0528946082269434	0.544748324628342	0.188367651571188	0.0	0.0
mRNA:Solyc00g500071.1.1	0.0	0.0	-0.792262080881833	-0.0273777670275083	-0.584495283296421	0.0	0.0
mRNA:Solyc00g500072.1.1	0.0	0.0	-1.27634345067826	-0.97799774181373	0.0	0.0	0.0
mRNA:Solyc00g500073.1.1	0.0	1.65477406416226	-0.628627478337587	0.299632217149083	0.0	0.0	0.0
mRNA:Solyc00g500074.1.1	0.0	0.617816963856475	-0.283250796102534	0.527233322426147	0.0	0.0	0.0
mRNA:Solyc00g500075.1.1	0.0	0.0	-0.213754555920079	0.0	0.0	0.0	0.0
mRNA:Solyc00g500076.1.1	0.0	1.65477406416226	0.73815466338577	0.084235573464383	0.0	0.0	0.0
mRNA:Solyc00g500077.1.1	0.0	0.0	0.351743965516032	0.27065279719328	0.0	0.0	0.0
