	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
BC_I_30hpi_leaf_255	-1.1548598	-1.5471182	-4.7343254	-0.21782446	1.198577	0.5938451	-0.73199755	-1.5196337	-0.73891324	-1.0057428	-0.39581653	2.4151683	-1.8075943	-0.36043796	-0.57311106	-0.8392582	-0.7817608	0.5584158	1.8286574	0.572796	0.15286222	1.9058838	-2.2860365	0.015532123	-0.008402705	0.65028554	-0.56646967	-0.6153589	0.7897108	-0.61938584	1.2136818	-0.50868237	1.0308727	-1.4284089	-0.3591106	0.7600675	-0.034474224	2.5116193	-0.8102741	-0.20574844	-1.9706829	1.2977781	-1.871098	2.1084785	0.84927124	0.72536004	0.040128708	-2.1115956	-1.5263838	0.9002116	-2.452681	-1.3750597	0.18671712	-1.322371	-1.2371275	0.64678234	-0.5495139	-1.0172764	1.4965394	-0.4320858	-2.8260918	1.0273058	-1.2382274	1.280329	-2.2557654	-0.8179072	-0.7177558	1.5685484	-1.3200327	-1.3989662	0.39637607	1.0973098	0.58722603	0.36462462	2.5524983	-2.7854362	0.6932827	0.27299523	3.002015	-0.2662571
BC_I_30hpi_leaf_270	-2.479162	-0.07239536	-0.6002157	1.607007	-0.09025285	-2.6011295	-0.6724983	-1.0218488	-1.2847297	0.18911797	0.861097	2.7182407	-1.4661769	-0.8175938	-0.53252095	1.0038347	-0.8535527	-6.2268567	2.340729	-0.3580207	1.0889997	1.3346987	-2.6724992	-0.69858575	-0.46732715	0.16520107	-0.9164628	0.34950972	-0.42914218	0.17792702	1.5960674	-2.1673534	-1.1115624	-0.3111109	-0.7540839	2.6205213	0.8660441	2.592484	0.46695298	0.4131831	-1.3014368	-1.3684409	-1.7242495	-5.5657597	0.13066486	2.4000673	-2.324692	-0.7921851	-1.7911536	-0.40988004	-2.9747138	1.0752865	-1.3722403	-3.7138307	-1.4992223	1.1015636	-0.46584445	-1.061527	-1.4300982	0.6396446	0.121387064	-1.0724995	1.4557302	0.009990454	-2.1030335	1.5111024	-1.1458927	0.5632501	-0.21428844	0.20553112	0.5928065	-2.2021065	1.7954316	0.3981266	0.49286795	-0.10784276	-0.73217654	-1.095607	1.4614927	-1.0950124
BC_I_30hpi_leaf_271	1.1759666	-0.9877267	-4.153674	3.079335	0.5750897	-3.7150207	-0.19769241	-2.1825485	-0.46221608	0.61443675	0.18664825	2.1946163	-0.7911178	0.83567387	-0.46377203	-1.6746905	2.5146313	-1.0282443	0.37283903	0.47315478	-0.29596034	0.9150096	-3.2653365	-1.0280219	0.8477439	-0.5381873	0.20620193	0.09957898	-0.43548766	0.9169624	0.4694755	1.5089335	0.51979893	0.26027673	-1.545668	3.69773	0.39067423	2.9875007	1.0957446	1.2148427	-2.669001	-0.57477784	-0.6919395	0.66892886	1.6364251	0.8589261	-3.6918116	-0.9374864	0.05327958	-0.33553678	-2.8382227	0.4930103	0.2909681	-0.479558	0.5595298	0.25690287	-0.43223932	0.40676916	-1.5232755	-1.3839763	-0.72955763	-1.327131	1.4720846	1.3486631	-2.5926595	-0.30997688	-2.172892	0.7007281	-1.0026971	-1.4238734	1.9632546	0.07412807	1.1960883	1.881809	3.4565644	1.274678	1.4030204	-2.7354658	0.11316234	-0.5358106
BC_I_30hpi_leaf_286	-1.834755	0.34961352	-2.1757567	0.31537616	-0.8189917	-3.8551402	-3.4400723	-1.1714435	0.013489246	-0.8739971	0.6503672	3.8535767	-0.6417434	0.90092045	0.32766837	0.66325223	0.83849764	0.2070688	0.19880512	-0.61358863	-1.0975094	0.3956462	-2.1892734	0.6721654	0.33850545	-0.36353546	1.6024615	0.33917648	-0.095958866	0.008134246	3.7677305	0.09920881	-0.58560973	-1.2225893	0.41321528	3.302083	-0.36382812	2.0091116	-1.245214	-0.58197856	-2.2743773	0.6474807	-2.2828746	-8.708143	-0.6673701	0.5116227	-8.215189	-3.881723	1.0168617	0.6247753	-3.815404	-1.145067	-0.87082046	-0.7060686	-1.6726458	1.5481637	0.028525114	-0.3421111	1.0830119	-0.72644883	-0.26151186	-1.1675289	1.1523293	5.0768595	-4.115475	-0.6102002	-1.7140774	-1.3801086	0.30578148	-1.6154807	0.72415173	1.2913638	0.976566	0.8316086	5.091528	-3.650611	-0.536147	-3.069551	0.83552414	0.60710216
BC_I_30hpi_leaf_287	-1.5043192	-0.18401156	-6.7361746	3.5389833	-0.21062177	-5.4375744	-0.17471047	-0.67944163	-1.2346575	-1.8972235	1.6942152	-0.57328653	-4.861405	-0.2127192	-1.7809396	0.049398422	0.4411453	-2.7418077	0.5205208	0.6809738	0.5013039	1.0647805	-2.6063862	-0.9992852	-0.067314506	-0.48972794	1.019662	0.76273966	-0.12141179	0.6392559	1.575299	-0.20382766	-1.0199149	0.03111285	-0.076498896	4.498556	2.975499	3.632739	-2.694351	0.29459515	-3.3121974	2.0747027	-2.7797918	-7.4146576	-0.02201289	1.5623472	-6.1648273	-0.98925793	-1.9766816	1.6765932	-4.7521963	-0.61785126	-1.3617232	-1.0057871	-0.284748	0.30282402	0.47640848	0.0317533	-0.37854493	0.33180335	2.0690756	0.13644868	3.0704107	2.6495368	-4.369608	1.2967536	-3.5161977	-0.8360634	0.10387546	-3.002378	1.3075078	1.1328226	1.2829945	1.3456186	5.2846403	-0.6030481	-0.39348614	-3.6446495	2.3730052	-0.016914845
MI_I_168hpi_root_086	-0.68153083	0.4685552	-3.1449795	5.270465	0.22108617	-2.2506719	-0.17031558	-1.2454293	-0.6867188	1.1993847	2.2177892	0.4441542	-1.2440344	-0.2932374	-1.1351299	-0.33088225	-0.24377877	-1.2007568	0.69916224	0.81718725	1.1739056	-0.3137438	-1.9909887	0.58161765	-0.30534023	-1.6693826	-0.94140553	2.6371133	-1.2980509	1.3109581	0.23708254	-1.3612301	0.8345001	-1.4701049	0.08411045	0.7795403	0.033733457	2.5372534	-1.3911549	-1.5902388	-0.9319875	0.8416847	-3.4861066	-2.3922925	-0.49566197	1.6817737	-1.5305285	-2.963898	-0.5392206	0.6953974	-2.8665857	-1.9308611	-0.24448359	-1.0831435	0.09951076	-1.1863486	-1.5414623	0.21325006	0.38502696	-0.54212976	-0.7276388	-0.6813368	0.25359696	1.6055814	-1.5713763	0.73112917	-0.9206542	0.06357695	-0.11098805	-2.426289	0.82959706	1.0284134	2.1227903	1.7345207	2.9659896	-2.4092934	-1.3868005	-1.5805541	0.9059963	-1.6028745
MI_I_168hpi_root_087	-0.28646448	1.4229537	-2.59059	-0.26359403	2.4488401	-4.0360365	0.5443904	-0.9504228	-0.3525749	0.835653	0.295645	1.4357291	-2.9188826	1.9271802	-0.39871138	1.4397557	-0.8129266	-0.51161885	-0.15291631	0.31639814	0.13044962	0.68847525	-0.9477324	0.39268976	1.2537866	0.95006263	-0.10295203	0.73043495	-0.6656623	1.4314237	1.695151	-1.9836493	0.9454396	-2.3039963	-0.2620805	2.5891633	2.4417188	1.902389	1.2558564	1.1120735	-1.7692275	-1.6046461	-3.8343256	0.8062062	0.02703555	0.5723748	-0.7024816	-0.25383794	-1.182321	0.32718864	-2.1217642	0.46740037	0.1969587	-0.26350677	1.4366908	-0.6209651	0.21118337	0.29819348	-1.841556	-0.9008366	-0.022319317	-0.93590224	0.35165346	0.28888166	-2.7842484	-0.48545748	-1.9201641	1.3204596	0.3067238	0.6267725	1.2759598	1.3935285	1.6048932	2.5025823	0.77885914	-1.235167	-0.03575307	-0.5237639	1.8592746	1.0078838
MI_C_168hpi_root_090	0.8326753	0.506227	4.7449474	-0.9374921	-0.18608594	3.1573765	0.42926818	1.4117174	1.3856026	-0.13297313	-1.4012575	-1.4184716	3.3536158	0.30183384	1.7696929	-1.663526	-1.4514618	0.39303464	-1.3056912	-0.20072699	-3.6307375	-1.7510433	2.4951158	0.9320532	0.016572442	-0.4111135	-0.2002173	-0.07834816	-0.15569058	-1.4507253	-2.4249578	-0.44753164	-0.32758468	1.0963731	-1.7077906	-2.8168175	-0.97678053	-3.8547506	-0.07263118	0.25359416	1.9270532	-1.7034448	3.595348	2.2446222	-0.37849945	-3.0767832	2.976339	2.3002653	1.4640387	-1.3099405	3.0156987	0.17727041	-0.37579674	0.50409263	0.005882511	-0.5521345	0.94818646	0.8944261	1.472786	0.18067926	1.7589815	0.404853	-1.0487169	-3.5428805	6.8415627	-0.6357572	4.0632935	1.673315	1.4899144	1.0817521	-5.3037224	1.1196194	-0.54681265	-2.262859	-2.1396308	0.6410514	0.8908415	2.5733836	-1.2213067	1.9343561
MI_C_168hpi_root_101	1.511743	0.08840692	4.330515	-1.771606	3.9506066	4.0829544	0.05744809	2.5812526	-0.92150253	1.9244732	-1.5571738	-2.4990075	2.6155164	-0.11259484	0.4457516	-1.4341254	-0.48802942	0.9032468	-1.206547	-0.2367143	-0.3886708	1.8650845	2.1110387	0.78222	-0.011411022	-0.4313624	-1.5076008	-2.7773824	0.20323989	-1.3234297	-2.3405108	2.8821657	-2.100431	-0.7814449	-1.7387874	-4.5298924	-0.2546955	-4.1631804	1.8568344	-0.35060656	2.8712318	0.36619613	1.8393724	3.502002	-0.78120923	-1.4280114	2.2299368	2.6381598	0.70254225	0.69326293	4.708197	2.2577815	-1.5295703	1.3617638	0.22077742	-0.7054417	-0.7392457	0.33196783	1.3170404	-0.17695929	2.3967142	1.331679	-4.753498	-2.4636166	3.3275685	-0.10867937	1.7607337	-0.38947263	0.8039365	1.3294843	-3.3770752	0.22974324	-1.6581829	-2.4310129	-4.642361	1.3802934	1.1493182	4.488144	-2.5381405	1.0754013
MI_I_336hpi_root_106	1.7026715	-0.70081437	2.801796	-1.1964334	-1.0677092	0.12625161	0.33064914	0.7192414	0.71597636	0.9215292	-0.2020719	-0.42385972	1.3036284	-0.48971587	-0.7070096	-0.62112653	-0.6968623	1.5826697	0.0510408	1.1305785	-1.1213741	-1.2247639	-0.08157882	0.7582145	0.042877927	1.4738955	-1.3400599	0.30370158	-1.8842419	0.4800285	-0.8008125	0.8693377	1.580329	0.58633816	-0.06269312	-0.8124709	1.1377337	-1.3925467	-1.3580786	1.002099	1.3640966	-0.8462212	2.3536139	-0.5646851	0.4796406	-0.705222	0.6109853	0.91096604	1.2248728	-0.4185192	-0.2614652	0.15928964	-0.7465675	1.4105432	0.33534232	-0.10668676	0.17979398	0.55501944	-0.34599057	1.42234	-1.1516308	-1.0159361	-0.82626766	-0.6612755	1.4202234	-1.1459872	1.3622845	1.9211769	0.08305374	2.697753	2.7229588	-0.69697046	1.5875684	0.30974048	-0.24721463	0.5145961	-0.024874106	0.85659665	-0.7219341	-1.5939698
