gene.name	pathway.name
Solyc08g082440	Metabolic pathways
Solyc01g094700	Metabolic pathways
Solyc08g014330	Metabolic pathways
Solyc02g092710	Metabolic pathways
Solyc02g032330	Metabolic pathways
Solyc01g102940	Metabolic pathways
Solyc10g054570	Metabolic pathways
Solyc06g071640	Metabolic pathways
Solyc02g082860	Metabolic pathways
Solyc05g015950	Metabolic pathways
Solyc02g086710	Metabolic pathways
Solyc06g071290	Metabolic pathways
Solyc01g080940	Metabolic pathways
Solyc07g065470	Metabolic pathways
Solyc01g080930	Metabolic pathways
Solyc10g050160	Metabolic pathways
Solyc10g005880	Metabolic pathways
Solyc03g065340	Metabolic pathways
Solyc02g079170	Metabolic pathways
Solyc07g014730	Metabolic pathways
Solyc11g013200	Metabolic pathways
Solyc10g078740	Metabolic pathways
Solyc05g014000	Metabolic pathways
Solyc04g080020	Metabolic pathways
Solyc12g035470	Metabolic pathways
Solyc09g082460	Metabolic pathways
Solyc12g098850	Metabolic pathways
Solyc10g074500	Metabolic pathways
Solyc03g120090	Metabolic pathways
Solyc03g097800	Metabolic pathways
Solyc11g072530	Metabolic pathways
Solyc09g074900	Metabolic pathways
Solyc09g014350	Metabolic pathways
Solyc03g006140	Metabolic pathways
Solyc11g013170	Metabolic pathways
Solyc10g050230	Metabolic pathways
Solyc01g007950	Metabolic pathways
Solyc03g097030	Metabolic pathways
Solyc12g055740	Metabolic pathways
Solyc01g022750	Metabolic pathways
Solyc04g053120	Metabolic pathways
Solyc03g083550	Metabolic pathways
Solyc01g104000	Metabolic pathways
Solyc03g111850	Metabolic pathways
Solyc08g076650	Metabolic pathways
Solyc03g044660	Metabolic pathways
Solyc02g081980	Metabolic pathways
Solyc04g077440	Metabolic pathways
Solyc07g062130	Metabolic pathways
Solyc04g072920	Metabolic pathways
Solyc05g010340	Metabolic pathways
Solyc10g085100	Metabolic pathways
Solyc12g094640	Metabolic pathways
Solyc02g069250	Metabolic pathways
Solyc02g084570	Metabolic pathways
Solyc04g071700	Metabolic pathways
Solyc06g083380	Metabolic pathways
Solyc03g098010	Metabolic pathways
Solyc12g035190	Metabolic pathways
Solyc03g113030	Metabolic pathways
Solyc12g021130	Metabolic pathways
Solyc02g080810	Metabolic pathways
Solyc02g091830	Metabolic pathways
Solyc09g092450	Metabolic pathways
Solyc11g070030	Metabolic pathways
Solyc04g056540	Metabolic pathways
Solyc07g009490	Metabolic pathways
Solyc01g010860	Metabolic pathways
Solyc03g083840	Metabolic pathways
Solyc03g019670	Metabolic pathways
Solyc09g008840	Metabolic pathways
Solyc10g050850	Metabolic pathways
Solyc01g091050	Metabolic pathways
Solyc03g044330	Metabolic pathways
Solyc01g079650	Metabolic pathways
Solyc11g027840	Metabolic pathways
Solyc02g093000	Metabolic pathways
Solyc10g007960	Metabolic pathways
Solyc02g082090	Metabolic pathways
Solyc02g084660	Metabolic pathways
Solyc05g005180	Metabolic pathways
Solyc04g054310	Metabolic pathways
Solyc03g112060	Metabolic pathways
Solyc01g110360	Metabolic pathways
Solyc02g089440	Metabolic pathways
Solyc05g053540	Metabolic pathways
Solyc02g062510	Metabolic pathways
Solyc02g093990	Metabolic pathways
Solyc05g005160	Metabolic pathways
Solyc11g006930	Metabolic pathways
Solyc09g064500	Metabolic pathways
Solyc02g091970	Metabolic pathways
Solyc10g006650	Metabolic pathways
Solyc10g018260	Metabolic pathways
Solyc07g053920	Metabolic pathways
Solyc04g078460	Metabolic pathways
Solyc12g006930	Metabolic pathways
Solyc12g044300	Metabolic pathways
Solyc10g083970	Metabolic pathways
Solyc11g068830	Metabolic pathways
Solyc07g064710	Metabolic pathways
Solyc11g018580	Metabolic pathways
Solyc01g102410	Metabolic pathways
Solyc05g005080	Metabolic pathways
Solyc10g055670	Metabolic pathways
Solyc09g082050	Metabolic pathways
Solyc01g093990	Metabolic pathways
Solyc06g009820	Metabolic pathways
Solyc05g056420	Metabolic pathways
Solyc10g086180	Metabolic pathways
Solyc09g092130	Metabolic pathways
Solyc09g064370	Metabolic pathways
Solyc04g051190	Metabolic pathways
Solyc01g097340	Metabolic pathways
Solyc06g007120	Metabolic pathways
Solyc09g090700	Metabolic pathways
Solyc09g018790	Metabolic pathways
Solyc11g011920	Metabolic pathways
Solyc07g006500	Metabolic pathways
Solyc02g094120	Metabolic pathways
Solyc10g007600	Metabolic pathways
Solyc04g079730	Biosynthesis of secondary metabolites
Solyc02g085730	Biosynthesis of secondary metabolites
Solyc01g105070	Biosynthesis of secondary metabolites
Solyc01g105560	Biosynthesis of secondary metabolites
Solyc04g082030	Biosynthesis of secondary metabolites
Solyc01g006300	Biosynthesis of secondary metabolites
Solyc09g009020	Biosynthesis of secondary metabolites
Solyc07g019440	Biosynthesis of secondary metabolites
Solyc11g012410	Biosynthesis of secondary metabolites
Solyc01g080280	Biosynthesis of secondary metabolites
Solyc09g008670	Biosynthesis of secondary metabolites
Solyc02g081330	Biosynthesis of secondary metabolites
Solyc06g068090	Biosynthesis of secondary metabolites
Solyc10g086500	Biosynthesis of secondary metabolites
Solyc07g026650	Biosynthesis of secondary metabolites
Solyc01g112280	Biosynthesis of secondary metabolites
Solyc01g009010	Biosynthesis of secondary metabolites
Solyc07g054210	Biosynthesis of secondary metabolites
Solyc02g082760	Biosynthesis of secondary metabolites
Solyc03g006880	Biosynthesis of secondary metabolites
Solyc02g081190	Biosynthesis of secondary metabolites
