TF	Target_Gene
Solyc02g077840	Solyc11g066020
Solyc02g077840	Solyc11g065220
Solyc02g077840	Solyc11g019960
Solyc02g077840	Solyc11g017300
Solyc02g077840	Solyc11g013270
Solyc02g077840	Solyc11g013030
Solyc02g077840	Solyc11g011010
Solyc02g077840	Solyc11g008550
Solyc02g077840	Solyc11g007720
Solyc02g077840	Solyc11g006760
Solyc02g077840	Solyc11g006700
Solyc02g077840	Solyc11g005280
Solyc02g077840	Solyc10g085410
Solyc02g077840	Solyc10g083760
Solyc02g077840	Solyc10g079500
Solyc02g077840	Solyc10g054320
Solyc02g077840	Solyc10g051340
Solyc02g077840	Solyc10g045270
Solyc02g077840	Solyc09g092070
Solyc02g077840	Solyc09g091420
Solyc02g077840	Solyc09g064840
Solyc02g077840	Solyc09g059310
Solyc02g077840	Solyc09g010650
Solyc02g077840	Solyc09g009440
Solyc02g077840	Solyc09g009140
Solyc02g077840	Solyc09g005710
Solyc02g077840	Solyc08g082020
Solyc02g077840	Solyc08g079700
Solyc02g077840	Solyc08g079590
Solyc02g077840	Solyc08g078990
Solyc02g077840	Solyc08g078320
Solyc02g077840	Solyc08g078150
Solyc02g077840	Solyc08g077450
Solyc02g077840	Solyc08g075160
Solyc02g077840	Solyc08g074410
Solyc02g077840	Solyc08g061240
Solyc02g077840	Solyc08g041890
Solyc02g077840	Solyc08g023500
Solyc02g077840	Solyc08g007330
Solyc02g077840	Solyc08g007320
Solyc02g077840	Solyc07g066190
Solyc02g077840	Solyc07g065760
Solyc02g077840	Solyc07g065470
Solyc02g077840	Solyc07g064520
Solyc02g077840	Solyc07g064340
Solyc02g077840	Solyc07g064230
Solyc02g077840	Solyc07g063900
Solyc02g077840	Solyc07g054810
Solyc02g077840	Solyc07g053580
Solyc02g077840	Solyc07g042970
Solyc02g077840	Solyc07g008190
Solyc02g077840	Solyc06g084510
Solyc02g077840	Solyc06g083270
Solyc02g077840	Solyc06g074050
Solyc02g077840	Solyc06g073980
Solyc02g077840	Solyc06g072830
Solyc02g077840	Solyc06g071350
Solyc02g077840	Solyc06g069520
Solyc02g077840	Solyc06g062990
Solyc02g077840	Solyc06g036780
Solyc02g077840	Solyc06g007250
Solyc02g077840	Solyc06g005800
Solyc02g077840	Solyc05g055690
Solyc02g077840	Solyc05g054840
Solyc02g077840	Solyc05g054730
Solyc02g077840	Solyc05g052420
Solyc02g077840	Solyc05g044620
Solyc02g077840	Solyc05g012940
Solyc02g077840	Solyc05g012480
Solyc02g077840	Solyc05g009790
Solyc02g077840	Solyc05g009350
Solyc02g077840	Solyc05g007590
Solyc02g077840	Solyc04g082690
Solyc02g077840	Solyc04g082030
Solyc02g077840	Solyc04g081890
Solyc02g077840	Solyc04g079690
Solyc02g077840	Solyc04g078390
Solyc02g077840	Solyc04g077670
Solyc02g077840	Solyc04g076290
Solyc02g077840	Solyc04g074710
Solyc02g077840	Solyc04g072230
Solyc02g077840	Solyc04g072060
Solyc02g077840	Solyc04g071920
Solyc02g077840	Solyc04g071040
Solyc02g077840	Solyc04g054170
Solyc02g077840	Solyc04g008790
Solyc02g077840	Solyc03g121870
Solyc02g077840	Solyc03g121260
Solyc02g077840	Solyc03g120170
Solyc02g077840	Solyc03g120090
Solyc02g077840	Solyc03g117730
Solyc02g077840	Solyc03g111210
Solyc02g077840	Solyc03g098200
Solyc02g077840	Solyc03g083210
Solyc02g077840	Solyc03g031950
Solyc02g077840	Solyc03g007120
Solyc02g077840	Solyc02g094580
Solyc02g077840	Solyc02g091970
Solyc02g077840	Solyc02g091410
Solyc02g077840	Solyc02g090570
Solyc02g077840	Solyc02g088660
Solyc02g077840	Solyc02g088350
Solyc02g077840	Solyc02g085520
Solyc02g077840	Solyc02g083940
Solyc02g077840	Solyc02g083800
Solyc02g077840	Solyc02g082500
Solyc02g077840	Solyc02g081210
Solyc02g077840	Solyc02g079390
Solyc02g077840	Solyc02g077730
Solyc02g077840	Solyc02g067820
Solyc02g077840	Solyc02g067670
Solyc02g077840	Solyc02g063350
Solyc02g077840	Solyc02g062910
Solyc02g077840	Solyc02g037500
Solyc02g077840	Solyc01g104490
Solyc02g077840	Solyc01g095130
Solyc02g077840	Solyc01g087720
Solyc02g077840	Solyc01g010440
Solyc02g077840	Solyc01g009850
Solyc02g077840	Solyc01g005840
Solyc02g077840	Solyc00g021630
Solyc02g077840	Solyc00g014850
Solyc02g084350	Solyc12g100120
Solyc02g084350	Solyc12g099470
Solyc02g084350	Solyc12g099000
Solyc02g084350	Solyc12g042600
Solyc02g084350	Solyc11g068830
Solyc02g084350	Solyc11g008970
Solyc02g084350	Solyc10g085340
Solyc02g084350	Solyc10g085130
Solyc02g084350	Solyc10g085010
Solyc02g084350	Solyc10g044780
Solyc02g084350	Solyc09g007990
Solyc02g084350	Solyc08g079530
Solyc02g084350	Solyc08g077490
Solyc02g084350	Solyc08g068070
Solyc02g084350	Solyc08g007630
Solyc02g084350	Solyc08g006020
Solyc02g084350	Solyc06g060300
Solyc02g084350	Solyc04g080500
Solyc02g084350	Solyc04g079430
Solyc02g084350	Solyc04g007510
Solyc02g084350	Solyc04g005330
Solyc02g084350	Solyc03g112380
Solyc02g084350	Solyc02g093420
Solyc02g084350	Solyc02g093050
Solyc02g084350	Solyc02g079170
Solyc02g084350	Solyc02g078610
Solyc02g084350	Solyc02g070820
Solyc02g084350	Solyc01g113620
Solyc02g084350	Solyc01g110500
Solyc02g084350	Solyc01g095220
Solyc02g084350	Solyc01g087060
Solyc02g084350	Solyc01g060260
Solyc02g085580	Solyc12g005340
Solyc02g085580	Solyc11g072150
Solyc02g085580	Solyc11g010350
Solyc02g085580	Solyc09g082460
Solyc02g085580	Solyc09g014450
Solyc02g085580	Solyc08g080730
Solyc02g085580	Solyc08g077280
Solyc02g085580	Solyc08g076020
Solyc02g085580	Solyc08g069140
Solyc02g085580	Solyc06g066430
Solyc02g085580	Solyc06g066030
Solyc02g085580	Solyc05g055080
Solyc02g085580	Solyc05g009790
Solyc02g085580	Solyc04g081370
Solyc02g085580	Solyc04g078390
Solyc02g085580	Solyc04g064810
Solyc02g085580	Solyc04g056310
Solyc02g085580	Solyc03g120990
Solyc02g085580	Solyc03g119170
Solyc02g085580	Solyc03g079940
Solyc02g085580	Solyc02g090160
Solyc02g085580	Solyc02g088590
Solyc02g085580	Solyc02g088350
Solyc02g085580	Solyc02g081270
Solyc02g085580	Solyc02g080520
Solyc02g085580	Solyc02g079940
Solyc02g085580	Solyc02g068080
Solyc02g085580	Solyc01g110180
Solyc02g085580	Solyc01g086870
Solyc02g085580	Solyc01g080500
Solyc02g085580	Solyc01g067900
Solyc02g086930	Solyc07g066560
Solyc02g086930	Solyc06g007620
Solyc02g086930	Solyc02g092570
Solyc02g090220	Solyc12g099790
Solyc02g090220	Solyc12g098820
Solyc02g090220	Solyc12g098810
Solyc02g090220	Solyc12g098320
Solyc02g090220	Solyc12g062250
Solyc02g090220	Solyc12g027740
Solyc02g090220	Solyc12g008550
Solyc02g090220	Solyc11g069610
Solyc02g090220	Solyc11g069270
Solyc02g090220	Solyc11g068530
Solyc02g090220	Solyc11g008080
Solyc02g090220	Solyc10g086440
Solyc02g090220	Solyc10g086120
Solyc02g090220	Solyc10g085100
Solyc02g090220	Solyc10g079600
Solyc02g090220	Solyc10g079090
Solyc02g090220	Solyc10g055620
Solyc02g090220	Solyc10g044900
Solyc02g090220	Solyc10g044780
Solyc02g090220	Solyc10g009210
Solyc02g090220	Solyc10g007500
Solyc02g090220	Solyc09g098240
Solyc02g090220	Solyc09g092070
Solyc02g090220	Solyc09g089560
Solyc02g090220	Solyc09g075580
Solyc02g090220	Solyc09g074260
Solyc02g090220	Solyc09g065930
Solyc02g090220	Solyc09g065880
Solyc02g090220	Solyc09g065640
Solyc02g090220	Solyc09g064840
Solyc02g090220	Solyc09g063030
Solyc02g090220	Solyc09g061430
Solyc02g090220	Solyc09g055940
Solyc02g090220	Solyc09g042260
Solyc02g090220	Solyc09g013110
Solyc02g090220	Solyc09g011740
Solyc02g090220	Solyc09g011470
Solyc02g090220	Solyc09g010940
Solyc02g090220	Solyc09g010920
Solyc02g090220	Solyc09g010780
Solyc02g090220	Solyc09g009060
Solyc02g090220	Solyc09g007990
Solyc02g090220	Solyc09g007180
Solyc02g090220	Solyc08g082910
Solyc02g090220	Solyc08g082870
Solyc02g090220	Solyc08g080730
Solyc02g090220	Solyc08g077560
Solyc02g090220	Solyc08g077270
Solyc02g090220	Solyc08g066660
Solyc02g090220	Solyc08g065230
Solyc02g090220	Solyc08g061270
Solyc02g090220	Solyc08g016010
Solyc02g090220	Solyc08g015620
Solyc02g090220	Solyc08g008040
Solyc02g090220	Solyc08g005260
Solyc02g090220	Solyc07g065710
Solyc02g090220	Solyc07g062950
Solyc02g090220	Solyc07g062630
Solyc02g090220	Solyc07g062260
Solyc02g090220	Solyc07g056270
Solyc02g090220	Solyc07g052690
Solyc02g090220	Solyc07g047710
Solyc02g090220	Solyc07g045470
Solyc02g090220	Solyc07g042950
Solyc02g090220	Solyc07g039380
Solyc02g090220	Solyc07g025140
Solyc02g090220	Solyc06g076470
Solyc02g090220	Solyc06g075350
Solyc02g090220	Solyc06g074030
Solyc02g090220	Solyc06g072300
Solyc02g090220	Solyc06g071420
Solyc02g090220	Solyc06g069600
Solyc02g090220	Solyc06g066400
Solyc02g090220	Solyc06g063410
Solyc02g090220	Solyc06g053980
Solyc02g090220	Solyc06g051840
Solyc02g090220	Solyc06g005650
Solyc02g090220	Solyc05g054870
Solyc02g090220	Solyc05g051060
Solyc02g090220	Solyc05g047460
Solyc02g090220	Solyc05g013560
Solyc02g090220	Solyc05g012090
Solyc02g090220	Solyc04g083160
Solyc02g090220	Solyc04g082680
Solyc02g090220	Solyc04g078840
Solyc02g090220	Solyc04g076020
Solyc02g090220	Solyc04g072900
Solyc02g090220	Solyc04g071040
Solyc02g090220	Solyc04g064810
Solyc02g090220	Solyc04g016370
Solyc02g090220	Solyc04g015740
Solyc02g090220	Solyc04g014610
Solyc02g090220	Solyc04g008690
Solyc02g090220	Solyc03g122300
Solyc02g090220	Solyc03g120890
Solyc02g090220	Solyc03g120120
Solyc02g090220	Solyc03g118770
Solyc02g090220	Solyc03g118740
Solyc02g090220	Solyc03g117790
Solyc02g090220	Solyc03g115950
Solyc02g090220	Solyc03g113640
Solyc02g090220	Solyc03g112600
Solyc02g090220	Solyc03g111580
Solyc02g090220	Solyc03g098200
Solyc02g090220	Solyc03g097630
Solyc02g090220	Solyc03g093460
Solyc02g090220	Solyc03g083350
Solyc02g090220	Solyc03g083070
Solyc02g090220	Solyc03g071750
Solyc02g090220	Solyc03g033540
Solyc02g090220	Solyc03g026240
Solyc02g090220	Solyc03g026080
Solyc02g090220	Solyc03g019800
Solyc02g090220	Solyc03g006880
Solyc02g090220	Solyc02g092360
Solyc02g090220	Solyc02g090900
Solyc02g090220	Solyc02g090510
Solyc02g090220	Solyc02g090160
Solyc02g090220	Solyc02g088620
Solyc02g090220	Solyc02g088450
Solyc02g090220	Solyc02g087960
Solyc02g090220	Solyc02g087640
Solyc02g090220	Solyc02g087620
Solyc02g090220	Solyc02g086360
Solyc02g090220	Solyc02g084350
Solyc02g090220	Solyc02g083120
Solyc02g090220	Solyc02g082840
Solyc02g090220	Solyc02g081270
Solyc02g090220	Solyc02g081190
Solyc02g090220	Solyc02g079390
Solyc02g090220	Solyc02g078590
Solyc02g090220	Solyc02g072140
Solyc02g090220	Solyc02g071010
Solyc02g090220	Solyc02g070940
Solyc02g090220	Solyc02g068350
Solyc02g090220	Solyc02g063330
Solyc02g090220	Solyc02g021420
Solyc02g090220	Solyc01g111610
Solyc02g090220	Solyc01g109100
Solyc02g090220	Solyc01g108010
Solyc02g090220	Solyc01g102580
Solyc02g090220	Solyc01g102310
Solyc02g090220	Solyc01g101090
Solyc02g090220	Solyc01g098930
Solyc02g090220	Solyc01g096350
Solyc02g090220	Solyc01g095770
Solyc02g090220	Solyc01g095160
Solyc02g090220	Solyc01g094720
Solyc02g090220	Solyc01g094620
Solyc02g090220	Solyc01g088620
Solyc02g090220	Solyc01g088160
Solyc02g090220	Solyc01g088080
Solyc02g090220	Solyc01g087990
Solyc02g090220	Solyc01g081540
Solyc02g090220	Solyc01g081230
Solyc02g090220	Solyc01g080180
Solyc02g090220	Solyc01g079340
Solyc02g090220	Solyc01g073910
Solyc02g090220	Solyc01g060260
Solyc02g090220	Solyc01g057200
Solyc02g090220	Solyc01g005960
Solyc02g092930	Solyc11g072070
Solyc03g026270	Solyc12g099280
Solyc03g026270	Solyc12g055930
Solyc03g026270	Solyc11g072160
Solyc03g026270	Solyc11g017300
Solyc03g026270	Solyc11g013270
Solyc03g026270	Solyc10g085050
Solyc03g026270	Solyc10g006360
Solyc03g026270	Solyc10g006140
Solyc03g026270	Solyc09g074360
Solyc03g026270	Solyc08g082590
Solyc03g026270	Solyc08g068050
Solyc03g026270	Solyc07g065540
Solyc03g026270	Solyc07g053580
Solyc03g026270	Solyc07g021700
Solyc03g026270	Solyc07g008190
Solyc03g026270	Solyc06g076650
Solyc03g026270	Solyc06g060300
Solyc03g026270	Solyc05g052420
Solyc03g026270	Solyc05g007590
Solyc03g026270	Solyc04g054170
Solyc03g026270	Solyc04g015740
Solyc03g026270	Solyc04g010200
Solyc03g026270	Solyc03g098200
Solyc03g026270	Solyc03g081220
Solyc03g026270	Solyc03g051770
Solyc03g026270	Solyc03g025610
Solyc03g026270	Solyc02g093980
Solyc03g026270	Solyc02g090760
Solyc03g026270	Solyc02g085580
Solyc03g026270	Solyc02g083130
Solyc03g026270	Solyc02g081210
Solyc03g026270	Solyc02g081030
Solyc03g026270	Solyc02g062910
Solyc03g026270	Solyc01g098760
Solyc03g026280	Solyc12g099280
Solyc03g026280	Solyc12g055930
Solyc03g026280	Solyc12g049560
Solyc03g026280	Solyc12g010390
Solyc03g026280	Solyc11g072160
Solyc03g026280	Solyc11g072070
Solyc03g026280	Solyc11g070060
Solyc03g026280	Solyc11g017300
Solyc03g026280	Solyc11g013270
Solyc03g026280	Solyc10g085050
Solyc03g026280	Solyc10g076580
Solyc03g026280	Solyc10g051340
Solyc03g026280	Solyc10g006410
Solyc03g026280	Solyc10g006360
Solyc03g026280	Solyc10g006140
Solyc03g026280	Solyc09g082800
Solyc03g026280	Solyc09g074360
Solyc03g026280	Solyc08g082590
Solyc03g026280	Solyc08g076810
Solyc03g026280	Solyc08g068050
Solyc03g026280	Solyc08g065850
Solyc03g026280	Solyc08g062700
Solyc03g026280	Solyc07g065540
Solyc03g026280	Solyc07g053580
Solyc03g026280	Solyc07g021700
Solyc03g026280	Solyc07g008190
Solyc03g026280	Solyc06g076650
Solyc03g026280	Solyc06g071350
Solyc03g026280	Solyc06g060300
Solyc03g026280	Solyc06g048470
Solyc03g026280	Solyc05g052420
Solyc03g026280	Solyc05g007590
Solyc03g026280	Solyc04g082110
Solyc03g026280	Solyc04g054170
Solyc03g026280	Solyc04g015740
Solyc03g026280	Solyc04g010200
Solyc03g026280	Solyc04g005160
Solyc03g026280	Solyc03g123720
Solyc03g026280	Solyc03g122300
Solyc03g026280	Solyc03g119270
Solyc03g026280	Solyc03g098660
Solyc03g026280	Solyc03g098200
Solyc03g026280	Solyc03g095780
Solyc03g026280	Solyc03g081220
Solyc03g026280	Solyc03g051770
Solyc03g026280	Solyc03g033520
Solyc03g026280	Solyc03g026220
Solyc03g026280	Solyc03g025610
Solyc03g026280	Solyc02g093980
Solyc03g026280	Solyc02g090760
Solyc03g026280	Solyc02g089440
Solyc03g026280	Solyc02g088170
Solyc03g026280	Solyc02g085580
Solyc03g026280	Solyc02g083130
Solyc03g026280	Solyc02g081210
Solyc03g026280	Solyc02g081030
Solyc03g026280	Solyc02g078300
Solyc03g026280	Solyc02g068750
Solyc03g026280	Solyc02g062910
Solyc03g026280	Solyc01g109660
Solyc03g026280	Solyc01g095700
Solyc03g093550	Solyc02g076730
