Gene_Name	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
Solyc00g014850	1.97930914247406	3.91083534199729	0.767316895599761	0.521805869627401	-0.625944195432879	-2.46585280858236	-2.51021844368975
Solyc00g020040	3.57789216217278	4.21369454693892	0.266603618167138	0.258902936264245	0.942768345994041	2.15895796438939	-0.770699948169761
Solyc00g020020	3.01790572720465	5.43183696531069	0.424867388817008	0.581555420986919	2.42171465761546	2.90716811238613	-2.24556133149301
Solyc00g020010	2.31775600454458	7.40338349242588	0.641785395495972	0.933021398103436	1.82375489769659	-1.18084467999287	0.428152318868278
Solyc00g019950	0.462151921392857	4.23241619337237	0.117059289170783	0.0158061058485998	0.969071403961925	2.54161487457946	2.3363087387767
Solyc00g021630	0.712924021834809	1.47408711009068	0.3254084720317	0.261930033407095	0.226613721618965	0.0	1.23946700012052
Solyc01g005020	0.230780145926272	0.157054793832752	0.228202721367232	0.0460400635180616	0.0576763843892048	-0.10781455679679	-0.685156848576103
Solyc01g005380	-0.691820330982614	-0.341303610229247	-0.0917335736260792	-0.516987745434306	-1.65301256577423	-1.46346043071754	-1.40733120232381
Solyc01g005390	7.87593355948698	1.52143228983497	-0.137135126727704	0.751355540970875	3.60586487192669	-0.398638930481851	-3.6769192670107
Solyc01g005540	-1.01820067180772	-0.81496058902827	-0.627706128104124	-0.531404631993318	-2.13098573720152	-0.377164088473673	-0.0244518589524607
Solyc01g005640	-0.538256934599094	0.46884986662191	0.017165304525446	-0.0125097211952802	0.914730853507605	-0.496781321453963	0.268147631245768
Solyc01g005690	-0.392766993402696	-0.601062512687044	-0.262343351245869	-0.373718069440989	-1.83969629763903	0.218786376883276	-0.353692978177565
Solyc01g005840	-0.459084648864821	-0.284453805460012	-0.41832129465432	-0.0766001619875328	-0.554869615271358	-1.58190580822358	-0.393087416151195
Solyc01g005860	-0.0115818433254571	1.70381082187826	-1.56878540917191	0.243918983627312	-0.627693134272262	-1.89411324635582	-4.55104723192837
Solyc01g005960	-0.51792991074536	0.0147532880825774	0.0058636856879488	-0.223749692862631	-0.990621860667315	-0.384364301564231	0.0088308765207812
Solyc01g006040	-0.207245083113641	-0.0680743727945724	-0.11985289941782	-0.233526468954488	-0.346833314979827	0.0704325223552353	-0.023082925985865
Solyc01g006370	-0.293679370177129	-1.44745591028643	-0.21356019289204	0.0027591020107723	-3.62146519199709	1.38940318338895	-0.270188470510961
Solyc01g006890	0.368536066034122	-0.367019727471292	0.353919301604326	0.481870780253878	-2.24447549737237	-0.0708946283183381	0.214559457983767
Solyc01g006980	0.675592035343668	-0.641636636320079	-0.0308587613550457	0.188322770470875	-0.944888741877361	-0.396122520482651	-0.724830314864522
Solyc01g007110	1.10505642814805	0.442571701855185	0.457385114410685	0.698630661052037	-0.981008847063304	0.48587252337057	0.726146321376617
Solyc01g007250	-0.360895406869953	1.47868473551165	-0.347042531690312	-0.372869822856873	1.58162445792543	-0.125740538920437	0.838233733788696
Solyc01g007890	-2.6661985350282	-0.481776606809521	-0.672305617728004	-1.05773786967652	-1.44304341886	-4.15982328396068	-2.78044838489787
Solyc01g008340	-0.518223043213047	0.685417839944655	-0.332653597313777	-0.582543343523622	0.308601580599602	-0.417109997171865	-0.244271166660297
Solyc01g008560	-0.293491990705645	1.19682574981917	0.718278313738562	0.784070956998988	-0.819022477757672	0.646564743553217	-0.966605377060285
Solyc01g008930	-1.59923881719616	-0.692654040670815	-2.41852684102758	-1.11354144913526	-2.56603237226523	0.0160744803661238	1.16602461417507
Solyc01g008980	-0.152965750646157	-0.0992368652439502	-0.971945756400211	-0.307762256767739	-0.0355419138761848	-0.051672707384435	1.594036846625
Solyc01g009380	-0.722200531395871	-0.214069177705036	0.291775792585899	-0.136090254468097	-1.80590904653387	-0.194365840736362	0.593335435621605
Solyc01g009850	0.127980718281589	0.203232859768826	-0.405714121041811	-0.149026900969667	0.204181698360329	0.366377744459731	0.492360567984775
Solyc01g010310	-0.0012850943776595	0.154225107013533	-0.872946706887718	-0.789734155765417	1.23095883707223	-0.202416704294359	-0.934487631571731
Solyc01g010440	0.277114293216654	0.540011846732537	0.154889005332854	-0.0116651054751986	0.704860675003091	0.402696483060361	0.717498147344349
Solyc01g010870	0.0491081141384501	0.121006598407252	0.187626927192408	-0.260969935066243	0.110981259405449	-0.283972735605918	-0.0966443943994699
Solyc01g011100	-0.97601958309568	-0.219914889125739	0.178568699362651	0.257949311403047	-1.2517971695318	-0.13819117478315	-0.176853848483074
Solyc01g020520	-0.297123561981379	0.643494589168678	0.249318849637983	-0.148003332265609	-0.184598738361745	-0.656509190560631	-0.176820317923144
Solyc01g022740	-0.854473779717822	-0.404222878852507	0.0330561127662843	-0.174839158964503	-1.41809407401481	0.158145596184	-0.199353804948574
Solyc01g057200	-2.07187793389901	-0.72903128845027	0.317817790092621	-0.106809844955247	-3.07229561451599	0.479924914671829	0.515583176350782
Solyc01g057430	-2.36834293903014	0.775894772506246	0.826019954915438	-0.82105807487651	-2.01234818995553	-3.348905954453	0.937029442115654
Solyc01g057520	0.180152494600769	-1.0047927188372	-0.20379527239598	-0.0251989006880276	0.258705332732842	1.50692054565652	0.461737811157923
Solyc01g057910	3.30208300501702	0.796341239599472	0.86970533483448	0.227756306755411	4.06843873537222	-5.44868477598609	-1.85223916223946
Solyc01g060260	1.74148639676874	0.0092838925399683	-0.47973952708458	-0.0690929781392342	-1.33320149172017	2.03426923529276	1.29181330030514
Solyc01g065540	-0.498210151397405	0.0398099720241748	-0.4278124576149	-0.369374272782326	-0.828842061988062	0.317184913886178	-0.0642209800320166
Solyc01g066640	-2.63169860680275	-0.75315673630969	0.429440302781876	1.29968176160968	-2.61838534861006	-4.80418245618756	-1.3546092841406
Solyc01g066680	-1.6995657146183	-1.32544273549397	0.0	0.0	3.36166314040545	-2.20688003823244	0.0
Solyc01g067120	-2.6942608838346	0.626436389720203	0.122230280419375	0.289074498915285	-3.64707607375382	-0.535622604620079	-1.07806467086705
Solyc01g067230	-0.674384271139311	0.130023877174141	-1.3543255109815	-0.551703801181435	-0.822113062654932	-0.0380349797885455	0.215126064359981
Solyc01g067890	-2.05344697798624	-1.94331750037005	0.138726659496399	-0.0862400505141543	-3.57184740616928	-0.942357101975692	1.75246097739116
Solyc01g067900	0.519407457036547	-1.17462129060544	-0.804036627192552	-0.862144549317272	-1.75455420733135	-0.445618960196055	0.470494538687976
Solyc01g068000	0.284653165405405	-0.359312786944209	0.0330670160745433	0.296126230351337	-0.836535187969954	-0.698998143456267	-0.591715523775535
Solyc01g068050	-0.735748103625964	0.338348487833981	-1.00034759201299	-0.582240450374667	0.320332006228436	-0.0427256461857625	0.434559358023547
Solyc01g068200	0.661951347985694	-0.16447611067624	0.106899227946015	-0.199701660077558	0.141530382979754	-0.0477691363602114	-0.0783424063701467
Solyc01g068260	-0.0115268394824051	-0.478122119089456	0.269898536931414	0.0399176961912755	-1.39926623475716	0.81773112721117	0.479581981580542
Solyc01g068480	-0.605494482590461	-0.130197027005131	0.153482564588427	0.202092290284664	-0.367394516047837	0.388527319077973	0.286258660351568
Solyc01g079340	0.20659520030411	-0.347001092871744	-0.0582723262034708	0.0413432970564666	-0.956490781977623	0.310983327523058	0.262726133653383
Solyc01g079550	4.92450499443851	-0.760021292461321	0.17040294265446	0.311533735142845	2.4653885340224	0.317548699649261	-0.325273042212024
