Gene_Name	stat_Pinfestans	stat_Cfulvum	stat_PSTVd_S23	stat_PSTVd_M	stat_Bcinerea	stat_Mincognita_7dpi	stat_Mincognita_14dpi
Solyc00g014850	1.53688769793619	1.78933862614871	4.40971039634015	3.72793082080916	-0.578172173399409	-1.12566231331886	-3.18343554938499
Solyc00g020040	4.04084757607096	1.99628526279502	1.08237443528222	0.831666875339956	1.25433888166349	0.96655572933752	-0.591382446987799
Solyc00g020020	2.55115257166875	4.77781350509625	2.73267324300927	3.97980455909319	1.97883794644233	4.52823691096846	-1.54916079717128
Solyc00g020010	1.95347311479356	4.40785486331093	2.27561853490883	3.17378161771056	2.69745384328901	-0.92419534079844	0.730794920331983
Solyc00g019950	0.644473634337264	3.88422506233451	1.0444717654007	0.169912603973901	0.781689678720334	1.9846745925204	3.6649323674217
Solyc00g021630	1.48334171856826	0.825099196699148	1.80967657312561	1.29737607337961	0.488447239181609	0.0	1.02531823361866
Solyc01g005020	3.50559802521459	1.04991832883096	1.4990479359957	0.300539446051515	0.368021152141775	-0.849586109671128	-9.86757753283651
Solyc01g005380	-2.72690656395211	-0.988599372943168	-0.214723563526733	-1.13475113943232	-4.57677101644873	-1.92645472740627	-2.94779745279812
Solyc01g005390	9.29719899376162	1.04179814466724	-0.290083761349783	2.21897547590913	6.56049198404441	-1.43792364494475	-16.3044144914563
Solyc01g005540	-5.23843213942277	-2.96439168234742	-1.9939695959664	-1.54691524259527	-8.53433803925358	-1.25277579825026	-0.177093651881963
Solyc01g005640	-2.23741498513282	2.24642504886878	0.0702263146180099	-0.0495306108487951	3.82195537576475	-4.03968137881678	1.56757535392602
Solyc01g005690	-3.98350279748607	-4.02995445994638	-2.4023757801275	-3.08055198154182	-5.43268087454062	1.05125517407607	-2.58232853613685
Solyc01g005840	-3.69693763486073	-1.3191635802427	-1.25814768407421	-0.265001629581659	-2.80087532116558	-1.97890729953132	-1.43495251624477
Solyc01g005860	-0.0134753122694508	2.04766415810922	-0.719714067449036	0.173265798846415	-0.50185234625087	-4.64246655220762	-10.6136841328916
Solyc01g005960	-3.32390318445685	0.0952892852729378	0.0366093554703776	-1.4483622255509	-5.86762126402387	-3.87058416519971	0.101162421911389
Solyc01g006040	-1.77328537577985	-0.443540711360317	-0.709586958007019	-1.34103055525164	-1.22671162027084	0.633337731781697	-0.172839078391648
Solyc01g006370	-0.997111062986481	-4.86314207936617	-1.90432496371222	0.0261619054862246	-17.1483339716707	10.8115311341683	-1.44610399345866
Solyc01g006890	1.33313091852273	-1.18729451426181	1.81451057462804	2.85338979789855	-6.84337539190159	-0.31310897874263	2.82182304365299
Solyc01g006980	4.49640596053984	-2.62514238464676	-0.130234207783831	0.811342971727361	-5.14529570326505	-3.11047451332597	-6.97421364386739
